targetWord,age_group,pc,num_subjects
acorn,3,1,3
acorn,4,0.8,5
acorn,5,1,3
acorn,6,1,1
acorn,7,0.8666666666666667,15
acorn,8,0.9473684210526315,38
acorn,9,0.9636363636363636,55
acorn,10,0.9318181818181818,44
acorn,11,1,18
acorn,25,0.9861111111111112,72
aloe,3,0,5
aloe,4,1,2
aloe,5,0.3333333333333333,3
aloe,6,0.8,5
aloe,7,0.9,10
aloe,8,0.7446808510638298,47
aloe,9,0.890625,64
aloe,10,0.8974358974358975,39
aloe,11,0.8333333333333334,24
aloe,25,0.96875,64
ant,3,0.875,8
ant,4,1,8
ant,5,0.8666666666666667,15
ant,6,1,10
ant,7,0.9411764705882353,34
ant,8,0.9509803921568627,102
ant,9,0.9558823529411765,136
ant,10,0.970873786407767,103
ant,11,1,44
ant,25,0.9827586206896551,58
antenna,3,0.3333333333333333,3
antenna,4,0.6,5
antenna,5,0.6666666666666666,3
antenna,6,0.4,5
antenna,7,0.7272727272727273,11
antenna,8,0.6530612244897959,49
antenna,9,0.78125,64
antenna,10,0.8260869565217391,46
antenna,11,0.7647058823529411,17
antenna,25,0.9852941176470589,68
artichoke,3,0.6666666666666666,6
artichoke,4,1,1
artichoke,5,0.75,4
artichoke,6,0.75,4
artichoke,7,0.7647058823529411,17
artichoke,8,0.7083333333333334,48
artichoke,9,0.5846153846153846,65
artichoke,10,0.765625,64
artichoke,11,0.8181818181818182,22
artichoke,25,0.9583333333333334,72
ball,3,0.8181818181818182,11
ball,4,1,5
ball,5,1,8
ball,6,0.6666666666666666,3
ball,7,1,21
ball,8,0.9183673469387755,98
ball,9,0.963855421686747,164
ball,10,0.9553571428571429,112
ball,11,0.9607843137254902,51
ball,25,1,74
bamboo,3,0,2
bamboo,4,0.8333333333333334,6
bamboo,5,1,1
bamboo,6,1,8
bamboo,7,1,14
bamboo,8,0.9523809523809523,42
bamboo,9,1,61
bamboo,10,0.8833333333333333,60
bamboo,11,0.9166666666666666,24
bamboo,25,1,54
barrel,3,1,4
barrel,4,1,1
barrel,5,1,5
barrel,6,1,4
barrel,7,0.9230769230769231,13
barrel,8,0.7647058823529411,34
barrel,9,0.9411764705882353,68
barrel,10,0.9318181818181818,43
barrel,11,1,24
barrel,25,1,84
bear,3,0.8,10
bear,4,0.8333333333333334,6
bear,5,0.8333333333333334,6
bear,6,1,15
bear,7,0.9024390243902439,41
bear,8,0.990990990990991,111
bear,9,0.9583333333333334,142
bear,10,0.9481481481481482,134
bear,11,0.9508196721311475,61
bear,25,1,73
blender,3,0.5,4
blender,4,0.75,4
blender,5,1,4
blender,6,1,3
blender,7,0.8666666666666667,15
blender,8,0.9555555555555556,45
blender,9,0.9078947368421053,76
blender,10,0.9777777777777777,45
blender,11,0.96,25
blender,25,1,68
blower,3,1,4
blower,4,0.5,2
blower,5,0.2,5
blower,6,0.5,2
blower,7,0.6842105263157895,19
blower,8,0.7111111111111111,45
blower,9,0.8888888888888888,54
blower,10,0.86,50
blower,11,0.9444444444444444,18
blower,25,0.935064935064935,77
bobsled,3,1,3
bobsled,4,0,1
bobsled,5,0.25,4
bobsled,6,0.25,4
bobsled,7,0.3333333333333333,12
bobsled,8,0.42857142857142855,42
bobsled,9,0.43548387096774194,62
bobsled,10,0.46808510638297873,47
bobsled,11,0.5217391304347826,23
bobsled,25,0.819672131147541,61
bouquet,3,0.2857142857142857,7
bouquet,4,0.25,4
bouquet,5,0.5,6
bouquet,6,0.75,4
bouquet,7,0.625,8
bouquet,8,0.5454545454545454,44
bouquet,9,0.6578947368421053,76
bouquet,10,0.7631578947368421,38
bouquet,11,0.7,20
bouquet,25,0.9861111111111112,72
buffet,3,1,1
